Epoch,FP32_loss
1,4.235716922203903
2,3.7273695231093775
3,3.3120170584724993
4,2.9396926003039034
5,2.599595638797106
6,2.3455811897507104
7,2.151731024312851
8,2.0282184675221555
9,1.9398273714363117
10,1.8723320674408428
11,1.8132216601115663
12,1.7675530273286277
13,1.7383347923493446
14,1.687244229304516
15,1.6435783769163634
16,1.6307777102341128
17,1.6014528963571923
18,1.5675794910591887
19,1.5489527798064835
20,1.524624423907541
21,1.5120746382057209
22,1.4934028725489936
23,1.4736053400942126
24,1.4658755256086968
25,1.4575927059363831
26,1.4363808259939599
27,1.4368764223040218
28,1.4174420754318042
29,1.403029761046095
30,0.907465527124722
31,0.741971068979834
32,0.680885936902917
33,0.6371817146725667
34,0.6088061258768487
35,0.5840913282178551
36,0.5610257639452014
37,0.545439770154636
38,0.5392578532323813
39,0.5224931968752381
40,0.5140770852870649
41,0.5095353531258185
42,0.5082866814740173
43,0.48445803917887265
44,0.49259057766793635
45,0.47645662096150393
46,0.46931748195072576
47,0.45784618093839385
48,0.4423625522562305
49,0.43516881668659124
50,0.4342760213881807
51,0.4201693291325703
52,0.4123500989907233
53,0.41449088936724016
54,0.402691607127714
55,0.38908509380372286
56,0.39089401397863616
57,0.3789406293036078
58,0.3674117668205515
59,0.36856326960084385
60,0.1484850875918975
61,0.08618095223708531
62,0.06733593547149845
63,0.05680526082244371
64,0.04970584796917865
65,0.04434269374412725
66,0.0403234946000797
67,0.03902138928261102
68,0.03572544512693839
69,0.03451425038859286
70,0.03247092346258252
71,0.029529239851362108
72,0.028746857860451922
73,0.0274199497840746
74,0.025884013098981376
75,0.02629394170678104
76,0.024210654384911517
77,0.024239013188273248
78,0.02324966131173589
79,0.022421230352424142
80,0.022621724999907528
81,0.021738548381992465
82,0.02271363857414221
83,0.021240912858977952
84,0.02139907682200184
85,0.020132568527889604
86,0.020729650595627935
87,0.01969117078992069
88,0.01924746682929337
89,0.0195825166733521
90,0.01729361248104964
91,0.016452168540843307
92,0.01567259166732697
93,0.015582491423401153
94,0.01537075498715386
95,0.01480151706463312
96,0.014753889959410328
97,0.014290435220617468
98,0.014494017460871764
99,0.014328612916200134
100,0.013969623351522038
0.7814
102.91
