Epoch,amp_loss
1,6.428482241254229
2,5.696574971297166
3,5.584546756363296
4,5.534580996605781
5,5.507149165112536
6,5.50190707367736
7,5.487333137576992
8,5.483632381812676
9,5.480417664305909
10,5.471120639233203
11,4.550185033443805
12,4.247280380704424
13,4.10992267720111
14,4.026891322807594
15,3.9645039890910483
16,3.9260968280243467
17,3.889524367186692
18,3.8684511686776664
19,3.847140380886051
20,3.831606711969747
21,3.2753846364778716
22,3.151327976766047
23,3.1025278790251956
24,3.071379077017724
25,3.04823388491239
26,3.026427230444345
27,3.0115789288169257
28,2.9945087182295547
29,2.9824403315514596
30,2.9680646860635247
31,2.720448461564985
32,2.675546601911882
33,2.6543927644278025
34,2.641932582378864
35,2.6275450461632484
36,2.620305617586835
37,2.613657463704432
38,2.602494439307031
39,2.5968631864427687
40,2.5883823253772595
41,2.502719089463279
42,2.4913955533421124
43,2.4842582041924293
44,2.4808503320048025
45,2.4755180316728786
46,2.472592358536773
47,2.4700127708804716
48,2.4680723666668416
49,2.465409972522404
50,2.462650760975513
0.5207
1129.28
